node,size,mean_year,min_year,max_year,top_topics
cube13_cluster3,7,2019.142857142857,2008,2024,{0: 7}
cube155_cluster0,7,2023.2857142857142,2021,2025,{2: 7}
cube42_cluster1,7,2017.142857142857,2011,2024,{0: 7}
cube53_cluster1,7,2020.857142857143,2015,2025,{0: 7}
cube3_cluster1,6,2017.6666666666667,2015,2022,{0: 6}
cube4_cluster1,6,2021.6666666666667,2015,2025,{0: 6}
cube175_cluster1,6,2020.6666666666667,2017,2024,{5: 6}
cube176_cluster1,6,2020.6666666666667,2017,2024,{5: 6}
cube30_cluster1,6,2016.6666666666667,2011,2024,{0: 6}
cube63_cluster1,6,2019.3333333333333,2016,2024,{0: 6}
cube47_cluster0,6,2022.3333333333333,2020,2025,"{0: 5, 3: 1}"
cube24_cluster0,6,2015.6666666666667,2009,2023,{0: 6}
cube157_cluster1,6,2021.0,2019,2025,{2: 6}
cube144_cluster1,6,2021.6666666666667,2018,2025,{6: 6}
cube75_cluster1,6,2018.5,2014,2024,{0: 6}
cube99_cluster0,6,2020.8333333333333,2015,2025,{1: 6}
cube132_cluster1,6,2023.0,2019,2025,{10: 6}
cube127_cluster1,6,2020.0,2010,2024,{2: 6}
cube15_cluster1,6,2019.1666666666667,2006,2025,{0: 6}
cube2_cluster2,5,2022.2,2019,2024,{0: 5}
cube4_cluster0,5,2021.8,2020,2024,{0: 5}
cube13_cluster1,5,2022.2,2019,2024,{0: 5}
cube45_cluster1,5,2021.6,2019,2025,{0: 5}
cube39_cluster1,5,2013.4,2009,2021,{0: 5}
cube48_cluster1,5,2020.8,2018,2023,{0: 5}
cube31_cluster1,5,2017.2,2011,2024,{0: 5}
cube65_cluster0,5,2020.8,2017,2025,{0: 5}
cube62_cluster1,5,2021.6,2016,2025,{0: 5}
cube56_cluster1,5,2018.2,2013,2024,{0: 5}
cube56_cluster0,5,2021.6,2019,2025,{0: 5}
cube109_cluster1,5,2022.4,2020,2025,{1: 5}
cube103_cluster1,5,2023.8,2023,2025,{3: 5}
cube99_cluster1,5,2022.0,2019,2024,{1: 5}
cube113_cluster2,5,2021.4,2018,2024,"{3: 4, 2: 1}"
cube114_cluster1,5,2021.0,2017,2024,"{3: 4, 2: 1}"
cube114_cluster3,5,2023.8,2023,2025,{3: 5}
cube110_cluster1,5,2022.0,2019,2024,{1: 5}
cube141_cluster1,5,2021.0,2019,2025,{2: 5}
cube144_cluster0,5,2020.0,2018,2022,{6: 5}
cube143_cluster1,5,2020.0,2018,2022,{6: 5}
cube161_cluster0,5,2023.4,2019,2025,"{5: 4, 12: 1}"
cube156_cluster2,5,2022.8,2019,2025,{2: 5}
