title,abstract,keywords,year,cleaned
AI against money laundering networks: the Colombian case,"Purpose
The purpose of this paper is to examine the artificial intelligence (AI)
methodologies to fight against money laundering crimes in Colombia.
Design/methodology/approach
This paper examines Colombian money laundering situations with some
methodologies of network science to apply AI tools.
Findings
This paper identifies the suspicious operations with AI methodologies,
which are not common by number, quantity or characteristics within the
economic or financial system and normal practices of companies or
industries.
Research limitations/implications
Access to financial institutions' data was the most difficult element
for research because affect the implementation of a set of different
algorithms and network science methodologies.
Practical implications
This paper tries to reduce the social and economic implications from
money laundering (ML) that result from illegal activities and different
crimes against inhabitants, governments, public resources and financial
systems.
Social implications
This paper proposes a software architecture methodology to fight against
ML and financial crime networks in Colombia which are common in
different countries. These methodologies complement legal structure and
regulatory framework.
Originality/value
The contribution of this paper is how within the flow already regulated
by financial institutions to manage the ML risk, AI can be used to
minimize and identify this kind of risk. For this reason, the authors
propose to use the graph analysis methodology for monitoring and
identifying the behavior of different ML patterns with machine learning
techniques and network science methodologies. These methodologies
complement legal structure and regulatory framework.","Money laundering; Artificial intelligence; Software architecture;
Financial crime networks",2021,"AI against money laundering networks: the Colombian case Purpose
The purpose of this paper is to examine the artificial intelligence (AI)
methodologies to fight against money laundering crimes in Colombia.
Design/methodology/approach
This paper examines Colombian money laundering situations with some
methodologies of network science to apply AI tools.
Findings
This paper identifies the suspicious operations with AI methodologies,
which are not common by number, quantity or characteristics within the
economic or financial system and normal practices of companies or
industries.
Research limitations/implications
Access to financial institutions' data was the most difficult element
for research because affect the implementation of a set of different
algorithms and network science methodologies.
Practical implications
This paper tries to reduce the social and economic implications from
money laundering (ML) that result from illegal activities and different
crimes against inhabitants, governments, public resources and financial
systems.
Social implications
This paper proposes a software architecture methodology to fight against
ML and financial crime networks in Colombia which are common in
different countries. These methodologies complement legal structure and
regulatory framework.
Originality/value
The contribution of this paper is how within the flow already regulated
by financial institutions to manage the ML risk, AI can be used to
minimize and identify this kind of risk. For this reason, the authors
propose to use the graph analysis methodology for monitoring and
identifying the behavior of different ML patterns with machine learning
techniques and network science methodologies. These methodologies
complement legal structure and regulatory framework. Money laundering; Artificial intelligence; Software architecture;
Financial crime networks"
"Themes in sentencing young adults charged with serious violent crime
involving alcohol and other drugs","The majority of young people in custody have alcohol and other drug
problems and over 90\% report past-year experiences of high-risk
drinking and illicit drug use. Despite a strong link between drug use
and violent offending, there is a dearth of information about how this
relationship plays out in sentencing young adult offenders. This study
examines themes in the sentencing of drug-using young adults facing
court for serious violent crime and describes how judges discuss
rehabilitation as a consideration for this high-risk group. This
research contributes to the literature by bridging law and social
science through a cross sectional analysis of n = 507 sentencing remarks
from New South Wales higher courts. Substance use involvement was
indicated in more than three-quarters (77\%) of violent offence cases.
Among young adults sentenced for violent crimes involving substance use
(n = 51) robbery and homicide were the most common offences, and alcohol
and methamphetamine were the most frequently involved substances. Two
themes emerged around judges' reasons for sentencing, one emphasising
offender agency and choice and another more compassionate position
acknowledging the influence of drug dependence on offending behaviour.
Despite this divide, addressing substance use dependence was commonly
seen as key for the successful rehabilitation of young people who commit
violent crime involving alcohol and other drugs.","Alcohol and drug; imprisonment; intoxication; rehabilitation;
sentencing; violence; violent offending; young adult",2020,"Themes in sentencing young adults charged with serious violent crime
involving alcohol and other drugs The majority of young people in custody have alcohol and other drug
problems and over 90\% report past-year experiences of high-risk
drinking and illicit drug use. Despite a strong link between drug use
and violent offending, there is a dearth of information about how this
relationship plays out in sentencing young adult offenders. This study
examines themes in the sentencing of drug-using young adults facing
court for serious violent crime and describes how judges discuss
rehabilitation as a consideration for this high-risk group. This
research contributes to the literature by bridging law and social
science through a cross sectional analysis of n = 507 sentencing remarks
from New South Wales higher courts. Substance use involvement was
indicated in more than three-quarters (77\%) of violent offence cases.
Among young adults sentenced for violent crimes involving substance use
(n = 51) robbery and homicide were the most common offences, and alcohol
and methamphetamine were the most frequently involved substances. Two
themes emerged around judges' reasons for sentencing, one emphasising
offender agency and choice and another more compassionate position
acknowledging the influence of drug dependence on offending behaviour.
Despite this divide, addressing substance use dependence was commonly
seen as key for the successful rehabilitation of young people who commit
violent crime involving alcohol and other drugs. Alcohol and drug; imprisonment; intoxication; rehabilitation;
sentencing; violence; violent offending; young adult"
Antisocial Behavior Corpus for Harmful Language Detection,"We report on experiments that demonstrate the relevance of our Anti
Social Behavior (ASB) corpus as a machine learning resource to detect
antisocial behavior from text. We first describe the corpus and then, by
using the corpus for training machine learning algorithms, we build a
set of binary classifiers. Experimental evaluations revealed that
classifiers built based on the ASB corpus produce reliable
classification results with up to 98\% accuracy. We believe that the
dataset will be valuable to researchers and practitioners working in
preventing, controlling and diagnosing antisocial behavior and related
problems.",,2013,"Antisocial Behavior Corpus for Harmful Language Detection We report on experiments that demonstrate the relevance of our Anti
Social Behavior (ASB) corpus as a machine learning resource to detect
antisocial behavior from text. We first describe the corpus and then, by
using the corpus for training machine learning algorithms, we build a
set of binary classifiers. Experimental evaluations revealed that
classifiers built based on the ASB corpus produce reliable
classification results with up to 98\% accuracy. We believe that the
dataset will be valuable to researchers and practitioners working in
preventing, controlling and diagnosing antisocial behavior and related
problems."
STEG-XAI: explainable steganalysis in images using neural networks,"Multimedia content's development and technological evolution have
enhanced and even facilitated the application of steganography as a
means to introduce hidden messages for cybercrime-related purposes.
Artificial intelligence models have been widely implemented as a way to
detect the presence of these messages in image content. However, the
possibility of applying explainability techniques in order to provide
visual representations of the signatures of different steganography
algorithms has not been studied yet. This work presents a novel
steganalysys methodology, STEG-XAI, not only for detecting steganography
in images but also for explaining the machine learning model's findings,
and extracting the steganography algorithm's signature. A convolutional
neural network with EfficientNet architecture is implemented, along with
the explainability algorithms LIME and Grad-CAM. The model is trained
with a dataset of images modified by UERD, a steganography method
designed for JPEG images, and achieves a weighted AUC of 0.944,
displaying a high level of discrimination between original and tampered
images. Furthermore, the explanation methods enable visualizing both the
image modifications identified by the neural network, and a signature of
the UERD algorithm.","Steganography; Steganalysis; Neural networks; Explainable artificial
intelligence",2023,"STEG-XAI: explainable steganalysis in images using neural networks Multimedia content's development and technological evolution have
enhanced and even facilitated the application of steganography as a
means to introduce hidden messages for cybercrime-related purposes.
Artificial intelligence models have been widely implemented as a way to
detect the presence of these messages in image content. However, the
possibility of applying explainability techniques in order to provide
visual representations of the signatures of different steganography
algorithms has not been studied yet. This work presents a novel
steganalysys methodology, STEG-XAI, not only for detecting steganography
in images but also for explaining the machine learning model's findings,
and extracting the steganography algorithm's signature. A convolutional
neural network with EfficientNet architecture is implemented, along with
the explainability algorithms LIME and Grad-CAM. The model is trained
with a dataset of images modified by UERD, a steganography method
designed for JPEG images, and achieves a weighted AUC of 0.944,
displaying a high level of discrimination between original and tampered
images. Furthermore, the explanation methods enable visualizing both the
image modifications identified by the neural network, and a signature of
the UERD algorithm. Steganography; Steganalysis; Neural networks; Explainable artificial
intelligence"
"Social Status of Adolescents With an Early Onset of Externalizing
Behavior: The SNARE Study","This study investigated the social status (i.e., popularity,
likeability, and friendships) of adolescents with an early onset of
externalizing behavior (i.e., alcohol use, tobacco use, and antisocial
behavior). Building on Moffitt's dual-taxonomy model, it was
hypothesized that early onset adolescents were more popular, but not
necessarily more liked or with more friends. Hypotheses were tested
using data from the Social Network Analysis of Risk Behaviors in Early
Adolescence (SNARE) study (N = 1,100, 50\% boys, (X) over bar (age) =
12.7, SD = 0.47 years). Findings indicated that adolescents with an
early onset of one or more externalizing behaviors were more popular,
less liked, and had as many friends as their peers. These findings
suggest that early onset adolescents potentially function as role
models.","alcohol use; antisocial behavior; tobacco use; popularity; early
adolescence; social status",2017,"Social Status of Adolescents With an Early Onset of Externalizing
Behavior: The SNARE Study This study investigated the social status (i.e., popularity,
likeability, and friendships) of adolescents with an early onset of
externalizing behavior (i.e., alcohol use, tobacco use, and antisocial
behavior). Building on Moffitt's dual-taxonomy model, it was
hypothesized that early onset adolescents were more popular, but not
necessarily more liked or with more friends. Hypotheses were tested
using data from the Social Network Analysis of Risk Behaviors in Early
Adolescence (SNARE) study (N = 1,100, 50\% boys, (X) over bar (age) =
12.7, SD = 0.47 years). Findings indicated that adolescents with an
early onset of one or more externalizing behaviors were more popular,
less liked, and had as many friends as their peers. These findings
suggest that early onset adolescents potentially function as role
models. alcohol use; antisocial behavior; tobacco use; popularity; early
adolescence; social status"
AI and Stochastic Terrorism - Should it be done?,"The use of Artificial Intelligence and Machine Learning technology may
seem to be the tools needed to combat media-inspired ``lone wolf
attacks{''} by implementing the concept of `` stochastic terrorism,{''}
targeting harmful media influences. Machine Learning is in current use
to sort through social media data to assess hate speech. Artificial
Intelligence is in current use to interpret the data and trends
processed by Machine Learning for tasks such as finding criminal
networks. The question becomes ``can stochastic terrorism be proven{''}
and ``should this be implemented.{''} Labeling someone as a
``terrorist,{''} regardless of any modifier for the term, tags the
person or group for severe, potentially lethal, response by the
government and the community. Criminal accusation cannot ethically be
done casually or without sufficient cause. Due to documented problems
with bias in all aspects of the issue, using these computational tools
to establish legal causation between media statements by pundits,
politicians, or others and the violence of ``lone wolf{''} actors would
not meet the requirements of US jurisprudence or the ethical principles
for Artificial Intelligence of being explainable, transparent, and
responsible.","stochastic terrorism; forensic; ethics; civil rights; artificial
intelligence; machine learning; bias; trust; due process",2022,"AI and Stochastic Terrorism - Should it be done? The use of Artificial Intelligence and Machine Learning technology may
seem to be the tools needed to combat media-inspired ``lone wolf
attacks{''} by implementing the concept of `` stochastic terrorism,{''}
targeting harmful media influences. Machine Learning is in current use
to sort through social media data to assess hate speech. Artificial
Intelligence is in current use to interpret the data and trends
processed by Machine Learning for tasks such as finding criminal
networks. The question becomes ``can stochastic terrorism be proven{''}
and ``should this be implemented.{''} Labeling someone as a
``terrorist,{''} regardless of any modifier for the term, tags the
person or group for severe, potentially lethal, response by the
government and the community. Criminal accusation cannot ethically be
done casually or without sufficient cause. Due to documented problems
with bias in all aspects of the issue, using these computational tools
to establish legal causation between media statements by pundits,
politicians, or others and the violence of ``lone wolf{''} actors would
not meet the requirements of US jurisprudence or the ethical principles
for Artificial Intelligence of being explainable, transparent, and
responsible. stochastic terrorism; forensic; ethics; civil rights; artificial
intelligence; machine learning; bias; trust; due process"
The Exclusionary Rule in the Age of Blue Data,"In Herring v. United States, Chief Justice John Roberts reframed the
Supreme Court's understanding of the exclusionary rule: ``As laid out in
our cases, the exclusionary rule serves to deter deliberate, reckless,
or grossly negligent conduct, or in some circumstances recurring or
systemic negligence.{''} The open question remains: How can defendants
demonstrate sufficient recurring or systemic negligence to warrant
exclusion? The Supreme Court has never answered the question, although
the absence of systemic or recurring problems has figured prominently in
two recent exclusionary rule decisions. Without the ability to document
recurring failures or patterns of police misconduct, courts can dismiss
individual constitutional violations merely as examples of ``isolated
negligence.{''}
But what if new data-driven surveillance technologies could track
police-citizen interactions and uncover recurring or systemic problems?
What if stops and arrests could be data mined to reveal systemic racial
bias? What if new surveillance technologies could record police-citizen
stops to monitor patterns of unconstitutional practices? What if
predictive analytics could identify at-risk officers in order to predict
future misconduct?
This Article looks to invert the big data surveillance gaze from the
citizen to the police. It asks whether the same big data policing
technologies built to track movements, actions, and patterns of criminal
activity could be redesigned to foster data-driven police
accountability. Tracking this ``blue data{''} and studying the systemic
errors offers concrete answers to the open questions surrounding the
Supreme Court's new exclusionary rule.
Unquestionably, the use of data mining, surveillance, and predictive
analytics to target police negligence will face resistance. Police
officers, administrators, and unions will likely protest the invasion of
personal and professional privacy it threatens. Yet, any resistance is
itself revealing and worth studying. This resistance offers a
provocative thought experiment: How could police objections to new forms
of surveillance inform community resistance to similar mass surveillance
technologies? This Article examines how police, courts, and litigants
will resist a push to police surveillance and what that resistance means
for current mass surveillance practices, law, and policy.",,2019,"The Exclusionary Rule in the Age of Blue Data In Herring v. United States, Chief Justice John Roberts reframed the
Supreme Court's understanding of the exclusionary rule: ``As laid out in
our cases, the exclusionary rule serves to deter deliberate, reckless,
or grossly negligent conduct, or in some circumstances recurring or
systemic negligence.{''} The open question remains: How can defendants
demonstrate sufficient recurring or systemic negligence to warrant
exclusion? The Supreme Court has never answered the question, although
the absence of systemic or recurring problems has figured prominently in
two recent exclusionary rule decisions. Without the ability to document
recurring failures or patterns of police misconduct, courts can dismiss
individual constitutional violations merely as examples of ``isolated
negligence.{''}
But what if new data-driven surveillance technologies could track
police-citizen interactions and uncover recurring or systemic problems?
What if stops and arrests could be data mined to reveal systemic racial
bias? What if new surveillance technologies could record police-citizen
stops to monitor patterns of unconstitutional practices? What if
predictive analytics could identify at-risk officers in order to predict
future misconduct?
This Article looks to invert the big data surveillance gaze from the
citizen to the police. It asks whether the same big data policing
technologies built to track movements, actions, and patterns of criminal
activity could be redesigned to foster data-driven police
accountability. Tracking this ``blue data{''} and studying the systemic
errors offers concrete answers to the open questions surrounding the
Supreme Court's new exclusionary rule.
Unquestionably, the use of data mining, surveillance, and predictive
analytics to target police negligence will face resistance. Police
officers, administrators, and unions will likely protest the invasion of
personal and professional privacy it threatens. Yet, any resistance is
itself revealing and worth studying. This resistance offers a
provocative thought experiment: How could police objections to new forms
of surveillance inform community resistance to similar mass surveillance
technologies? This Article examines how police, courts, and litigants
will resist a push to police surveillance and what that resistance means
for current mass surveillance practices, law, and policy."
"An Elements-based Multi-Stage Charges Identification Model for Textual
Criminal Cases","This paper proposes an identifying methodology of the relevant criminal
offences charges, given textual information of the criminal cases in the
Civil Law system. The model is devised as a multi-stage based on the
criminal law codes. The first stage is to identify action types, using
modular classifier. The modularity is designed based on the offences
charges, which were abstractly categorized by elements of crimes in
criminal codes. The second stage is to identify the legal elements,
leading to general provisions. This classification stage is designed as
independent multi-classifiers. The input data is preprocessed from text
to features by some natural language processing methods. The integrated
model aims at achieving high accuracy of classification while reserving
explainable results, which is required in an application of legal
domain.","data mining; text mining; criminal law; element of crimes; legal
reasoning",2014,"An Elements-based Multi-Stage Charges Identification Model for Textual
Criminal Cases This paper proposes an identifying methodology of the relevant criminal
offences charges, given textual information of the criminal cases in the
Civil Law system. The model is devised as a multi-stage based on the
criminal law codes. The first stage is to identify action types, using
modular classifier. The modularity is designed based on the offences
charges, which were abstractly categorized by elements of crimes in
criminal codes. The second stage is to identify the legal elements,
leading to general provisions. This classification stage is designed as
independent multi-classifiers. The input data is preprocessed from text
to features by some natural language processing methods. The integrated
model aims at achieving high accuracy of classification while reserving
explainable results, which is required in an application of legal
domain. data mining; text mining; criminal law; element of crimes; legal
reasoning"
"The Dynamics of Friendships and Victimization in Adolescence: A
Longitudinal Social Network Perspective","This study investigated the development of relational and physical
victimization in adolescent friendship networks over time. Using
longitudinal social network analysis (SIENA) it was simultaneously
tested whether similarity in victimization contributed to friendship
formation (selection effects) and whether victimization of friends
contributed to changes in victimization (influence effects). This was
done for peer-reported relational and physical victimization separately
in two middle schools (total N=480; N=220, 47\% girls, in School 1;
N=260, 52\% girls, in School 2) across three time points (Grades 6
through 8; M ages 11.513.5). Gender, ethnicity, and baseline aggression
were controlled as individual predictors of victimization. Similarity in
physical victimization predicted friendship formation, whereas physical
victimization was not influenced by friends' victimization but rather by
adolescents' own physical aggression. Peer influence effects existed for
relational victimization, in that adolescents with victimized friends
were more likely to increase in victimization over time as well, over
and above the effect of adolescents' own relational aggression. These
selection and influence effects were not further qualified by gender.
The results suggested that both selection and influence processes as
well as individual characteristics play a role in the co-evolution of
friendships and victimization, but that these processes are specific for
different types of victimization. Aggr. Behav. 39 :229-238, 2013. (c)
2013 Wiley Periodicals, Inc.","victimization; social network analysis; peer influence; friendship;
adolescence",2013,"The Dynamics of Friendships and Victimization in Adolescence: A
Longitudinal Social Network Perspective This study investigated the development of relational and physical
victimization in adolescent friendship networks over time. Using
longitudinal social network analysis (SIENA) it was simultaneously
tested whether similarity in victimization contributed to friendship
formation (selection effects) and whether victimization of friends
contributed to changes in victimization (influence effects). This was
done for peer-reported relational and physical victimization separately
in two middle schools (total N=480; N=220, 47\% girls, in School 1;
N=260, 52\% girls, in School 2) across three time points (Grades 6
through 8; M ages 11.513.5). Gender, ethnicity, and baseline aggression
were controlled as individual predictors of victimization. Similarity in
physical victimization predicted friendship formation, whereas physical
victimization was not influenced by friends' victimization but rather by
adolescents' own physical aggression. Peer influence effects existed for
relational victimization, in that adolescents with victimized friends
were more likely to increase in victimization over time as well, over
and above the effect of adolescents' own relational aggression. These
selection and influence effects were not further qualified by gender.
The results suggested that both selection and influence processes as
well as individual characteristics play a role in the co-evolution of
friendships and victimization, but that these processes are specific for
different types of victimization. Aggr. Behav. 39 :229-238, 2013. (c)
2013 Wiley Periodicals, Inc. victimization; social network analysis; peer influence; friendship;
adolescence"
"Snakes, Ladders, and Brokers: The Role of Social Networks in Rising
Through the Ranks of an Outlaw Motorcycle Gang","Contrary to unstructured criminal groups, outlaw motorcycle gangs
(OMCGs) utilize a three-tiered promotional process. Through these
stages, members have shown to vary in their ability to advance. The
current study uses social network analysis (SNA) to investigate the
influence of network capital on the timing of promotion. We pay
particular attention as to whether bikers show a capacity to connect and
work with others, and/or whether the involvement in violence or drug
trafficking plays a role in the timing of promotion. Using longitudinal
data, we analyze the promotional trajectories of 62 members. Survival
analyses indicated that those with an increase in social capital,
whether that be in the number of contacts or strategic network
positions, experienced faster promotions. Specifically, how individuals
positioned themselves the year before promotion was a determining factor
for advancement. Findings hold important implications for the timing of
target intervention efforts on individuals involved in OMCGs.","Organized crime; promotion; social network analysis; network capital;
social capital; human capital",2025,"Snakes, Ladders, and Brokers: The Role of Social Networks in Rising
Through the Ranks of an Outlaw Motorcycle Gang Contrary to unstructured criminal groups, outlaw motorcycle gangs
(OMCGs) utilize a three-tiered promotional process. Through these
stages, members have shown to vary in their ability to advance. The
current study uses social network analysis (SNA) to investigate the
influence of network capital on the timing of promotion. We pay
particular attention as to whether bikers show a capacity to connect and
work with others, and/or whether the involvement in violence or drug
trafficking plays a role in the timing of promotion. Using longitudinal
data, we analyze the promotional trajectories of 62 members. Survival
analyses indicated that those with an increase in social capital,
whether that be in the number of contacts or strategic network
positions, experienced faster promotions. Specifically, how individuals
positioned themselves the year before promotion was a determining factor
for advancement. Findings hold important implications for the timing of
target intervention efforts on individuals involved in OMCGs. Organized crime; promotion; social network analysis; network capital;
social capital; human capital"
"Predicting non-familial major physical violent crime perpetration in the
US Army from administrative data","Background. Although interventions exist to reduce violent crime,
optimal implementation requires accurate targeting. We report the
results of an attempt to develop an actuarial model using machine
learning methods to predict future violent crimes among US Army
soldiers.
Method. A consolidated administrative database for all 975 057 soldiers
in the US Army in 2004-2009 was created in the Army Study to Assess Risk
and Resilience in Servicemembers (Army STARRS). Of these soldiers, 5771
committed a first founded major physical violent crime
(murder-manslaughter, kidnapping, aggravated arson, aggravated assault,
robbery) over that time period. Temporally prior administrative records
measuring socio-demographic, Army career, criminal justice,
medical/pharmacy, and contextual variables were used to build an
actuarial model for these crimes separately among men and women using
machine learning methods (cross-validated stepwise regression, random
forests, penalized regressions). The model was then validated in an
independent 2011-2013 sample.
Results. Key predictors were indicators of disadvantaged
social/socioeconomic status, early career stage, prior crime, and mental
disorder treatment. Area under the receiver-operating characteristic
curve was 0.80-0.82 in 2004-2009 and 0.77 in the 2011-2013 validation
sample. Of all administratively recorded crimes, 36.2-33.1\%
(male-female) were committed by the 5\% of soldiers having the highest
predicted risk in 2004-2009 and an even higher proportion (50.5\%) in
the 2011-2013 validation sample.
Conclusions. Although these results suggest that the models could be
used to target soldiers at high risk of violent crime perpetration for
preventive interventions, final implementation decisions would require
further validation and weighing of predicted effectiveness against
intervention costs and competing risks.","Actuarial model; crime perpetration; machine learning; military
violence; physical violence; risk model",2016,"Predicting non-familial major physical violent crime perpetration in the
US Army from administrative data Background. Although interventions exist to reduce violent crime,
optimal implementation requires accurate targeting. We report the
results of an attempt to develop an actuarial model using machine
learning methods to predict future violent crimes among US Army
soldiers.
Method. A consolidated administrative database for all 975 057 soldiers
in the US Army in 2004-2009 was created in the Army Study to Assess Risk
and Resilience in Servicemembers (Army STARRS). Of these soldiers, 5771
committed a first founded major physical violent crime
(murder-manslaughter, kidnapping, aggravated arson, aggravated assault,
robbery) over that time period. Temporally prior administrative records
measuring socio-demographic, Army career, criminal justice,
medical/pharmacy, and contextual variables were used to build an
actuarial model for these crimes separately among men and women using
machine learning methods (cross-validated stepwise regression, random
forests, penalized regressions). The model was then validated in an
independent 2011-2013 sample.
Results. Key predictors were indicators of disadvantaged
social/socioeconomic status, early career stage, prior crime, and mental
disorder treatment. Area under the receiver-operating characteristic
curve was 0.80-0.82 in 2004-2009 and 0.77 in the 2011-2013 validation
sample. Of all administratively recorded crimes, 36.2-33.1\%
(male-female) were committed by the 5\% of soldiers having the highest
predicted risk in 2004-2009 and an even higher proportion (50.5\%) in
the 2011-2013 validation sample.
Conclusions. Although these results suggest that the models could be
used to target soldiers at high risk of violent crime perpetration for
preventive interventions, final implementation decisions would require
further validation and weighing of predicted effectiveness against
intervention costs and competing risks. Actuarial model; crime perpetration; machine learning; military
violence; physical violence; risk model"
Network visualization for financial crime detection,"Objective: We present a new software system, VisFAN, for the visual
analysis of financial activity networks.
Methods: We combine enhanced graph drawing techniques to devise novel
algorithms and interaction functionalities for the visual exploration of
networked data sets, together with tools for SNA and for the automatic
generation of reports.
Results: An application example constructed on real data is presented.
We also report the results of a study aimed at qualitatively
understanding the satisfaction level of the analysts when using VisFAN.
Conclusion: VisFAN makes a strong use of visual interactive tools,
combined with ad-hoc clustering techniques and customizable layout
constraints management. Implications: As this system confirms,
information visualization can play a crucial role to face the discovery
of financial crimes. (C) 2014 Elsevier Ltd. All rights reserved.","Financial crime detection; Graph visualization; Social network analysis;
Information visualization",2014,"Network visualization for financial crime detection Objective: We present a new software system, VisFAN, for the visual
analysis of financial activity networks.
Methods: We combine enhanced graph drawing techniques to devise novel
algorithms and interaction functionalities for the visual exploration of
networked data sets, together with tools for SNA and for the automatic
generation of reports.
Results: An application example constructed on real data is presented.
We also report the results of a study aimed at qualitatively
understanding the satisfaction level of the analysts when using VisFAN.
Conclusion: VisFAN makes a strong use of visual interactive tools,
combined with ad-hoc clustering techniques and customizable layout
constraints management. Implications: As this system confirms,
information visualization can play a crucial role to face the discovery
of financial crimes. (C) 2014 Elsevier Ltd. All rights reserved. Financial crime detection; Graph visualization; Social network analysis;
Information visualization"
"Vision Transformers (ViTs) for Feature Extraction and Classification of
AI-Generated Visual Designs","Deep learning has become a cornerstone of modern Artificial Intelligence
(AI), enabling machines to process and interpret complex visual
information with unprecedented accuracy. As AI-generated content becomes
more realistic, the ability to distinguish between machine-created and
human-created images is increasingly important. This challenge extends
beyond technical concerns, influencing digital media credibility,
intellectual property rights, and the integrity of visual communication.
Developing robust classification models to accurately attribute image
origins is crucial for ensuring transparency, preventing misinformation,
and upholding artistic authenticity in an era of rapidly evolving
generative AI technologies. This study addresses the critical need to
differentiate between AI-generated and human-generated aesthetic images
through the application of advanced deep learning models. We investigate
the effectiveness of advanced deep learning architectures including High
Resolution Networks (HRNet), and Vision Transformers (ViT) which are
generally accurate when used to infer the creative characteristics of
human visual art. The proposed model ViT, employing a mechanism of
self-attention to process images as sequences of patches for feature
extraction, is examined for its potential to capture global contextual
relationships within images, which is essential for recognizing the
nuanced differences between AI and human artistry. ViT achieves 97\%
accuracy shows that superior performance validates its ability, using
its transformer structure, to analyze and learn about the complex
features of images which disclose their origin as compared to HRNet
model of 95\%. This research highlights the potential of using
sophisticated deep learning techniques to address the challenges of
content authenticity in digital media. By leveraging the unique
strengths of each model, we provide insights into their applicability
and effectiveness in distinguishing between different forms of digital
creation, marking a significant step forward in the field of digital
forensics and content verification.","Artificial intelligence; Art; Visualization; Deep learning;
Transformers; Accuracy; Data models; Computer vision; Feature
extraction; Computational modeling; convolutional neural network; deep
learning; vision transformer; visual aesthetics",2025,"Vision Transformers (ViTs) for Feature Extraction and Classification of
AI-Generated Visual Designs Deep learning has become a cornerstone of modern Artificial Intelligence
(AI), enabling machines to process and interpret complex visual
information with unprecedented accuracy. As AI-generated content becomes
more realistic, the ability to distinguish between machine-created and
human-created images is increasingly important. This challenge extends
beyond technical concerns, influencing digital media credibility,
intellectual property rights, and the integrity of visual communication.
Developing robust classification models to accurately attribute image
origins is crucial for ensuring transparency, preventing misinformation,
and upholding artistic authenticity in an era of rapidly evolving
generative AI technologies. This study addresses the critical need to
differentiate between AI-generated and human-generated aesthetic images
through the application of advanced deep learning models. We investigate
the effectiveness of advanced deep learning architectures including High
Resolution Networks (HRNet), and Vision Transformers (ViT) which are
generally accurate when used to infer the creative characteristics of
human visual art. The proposed model ViT, employing a mechanism of
self-attention to process images as sequences of patches for feature
extraction, is examined for its potential to capture global contextual
relationships within images, which is essential for recognizing the
nuanced differences between AI and human artistry. ViT achieves 97\%
accuracy shows that superior performance validates its ability, using
its transformer structure, to analyze and learn about the complex
features of images which disclose their origin as compared to HRNet
model of 95\%. This research highlights the potential of using
sophisticated deep learning techniques to address the challenges of
content authenticity in digital media. By leveraging the unique
strengths of each model, we provide insights into their applicability
and effectiveness in distinguishing between different forms of digital
creation, marking a significant step forward in the field of digital
forensics and content verification. Artificial intelligence; Art; Visualization; Deep learning;
Transformers; Accuracy; Data models; Computer vision; Feature
extraction; Computational modeling; convolutional neural network; deep
learning; vision transformer; visual aesthetics"
"Discovery of cybervictimization-associated factors among adolescents:
Using machine learning and network analysis","The issue of cybervictimization among adolescents is escalating,
presenting a significant public concern. Recent research has turned to
use a more robust method, machine learning, to explore important
predictors for adolescent cybervictimization. The current study tested
an extreme gradient boosting (XGBoost) machine learning algorithm to
detect cybervictimization-associated factors among adolescents and used
network analysis to explore associations between these factors for
future targeted interventions. By combining a 6-month longitudinal
design, a total of 1181 Chinese adolescents (the average age was 15.78
+/- 1.67 years, 55.9\% girls) participated in the study. The XGBoost
model with satisfactory performance selected the top 10 features from 22
variables associated with cybervictimization by using SHAP value. The
network analysis results indicated that maladaptive cognitive emotion
regulation strategy is a central node and it has positive correlations
with negative self-schema and depression. The XGBoost model and network
analysis were useful methods for discovering and understanding
cybervictimization-related factors among adolescents. Moreover, these
essential factors could offer insights into future interventions for
cybervictimization.",Cybervictimization; Machine learning; Network analysis; Adolescents,2025,"Discovery of cybervictimization-associated factors among adolescents:
Using machine learning and network analysis The issue of cybervictimization among adolescents is escalating,
presenting a significant public concern. Recent research has turned to
use a more robust method, machine learning, to explore important
predictors for adolescent cybervictimization. The current study tested
an extreme gradient boosting (XGBoost) machine learning algorithm to
detect cybervictimization-associated factors among adolescents and used
network analysis to explore associations between these factors for
future targeted interventions. By combining a 6-month longitudinal
design, a total of 1181 Chinese adolescents (the average age was 15.78
+/- 1.67 years, 55.9\% girls) participated in the study. The XGBoost
model with satisfactory performance selected the top 10 features from 22
variables associated with cybervictimization by using SHAP value. The
network analysis results indicated that maladaptive cognitive emotion
regulation strategy is a central node and it has positive correlations
with negative self-schema and depression. The XGBoost model and network
analysis were useful methods for discovering and understanding
cybervictimization-related factors among adolescents. Moreover, these
essential factors could offer insights into future interventions for
cybervictimization. Cybervictimization; Machine learning; Network analysis; Adolescents"
